year,movies_count,alien,robot,dystopian,fantasy,monster,time_travel,techno,super,space
1896,1,0.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
1897,1,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0
1898,7,1.43,2.86,1.43,10.0,0.0,4.29,0.0,0.0,8.57
1899,3,3.33,3.33,3.33,10.0,0.0,0.0,0.0,0.0,10.0
1900,2,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0
1901,2,0.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,10.0
1902,2,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0
1903,9,0.0,3.33,0.0,10.0,2.22,2.22,0.0,0.0,7.78
1904,2,0.0,5.0,5.0,10.0,5.0,0.0,0.0,0.0,10.0
1905,2,5.0,0.0,5.0,10.0,0.0,10.0,0.0,0.0,10.0
1906,4,2.5,2.5,2.5,10.0,0.0,2.5,0.0,0.0,7.5
1907,3,0.0,3.33,0.0,10.0,0.0,0.0,0.0,0.0,0.0
1908,2,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
1909,3,0.0,0.0,3.33,10.0,3.33,3.33,0.0,0.0,6.67
1910,3,3.33,6.67,0.0,6.67,6.67,0.0,0.0,0.0,3.33
1911,2,0.0,5.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0
1912,2,0.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0
1914,1,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
1915,2,0.0,5.0,5.0,10.0,5.0,0.0,0.0,0.0,0.0
1916,2,0.0,10.0,5.0,5.0,0.0,5.0,0.0,0.0,5.0
1917,1,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
1918,1,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0
1919,1,0.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0
1920,2,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
1921,3,0.0,3.33,6.67,10.0,0.0,0.0,0.0,0.0,0.0
1922,3,3.33,6.67,3.33,10.0,3.33,3.33,3.33,0.0,3.33
1923,3,0.0,0.0,6.67,10.0,0.0,0.0,0.0,0.0,0.0
1924,8,1.25,7.5,3.75,8.75,2.5,3.75,0.0,0.0,2.5
1925,3,0.0,0.0,3.33,6.67,6.67,0.0,0.0,0.0,3.33
1926,3,0.0,6.67,3.33,10.0,0.0,3.33,3.33,0.0,0.0
1927,1,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
1928,2,5.0,10.0,5.0,10.0,5.0,5.0,0.0,0.0,5.0
1929,2,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0
1930,1,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0
1931,2,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0
1932,5,2.0,6.0,6.0,8.0,6.0,2.0,0.0,0.0,4.0
1933,7,0.0,4.29,1.43,5.71,2.86,7.14,0.0,0.0,0.0
1934,5,2.0,8.0,4.0,8.0,6.0,2.0,0.0,0.0,0.0
1935,9,1.11,6.67,5.56,7.78,2.22,5.56,0.0,0.0,1.11
1936,10,3.0,3.0,5.0,3.0,4.0,3.0,1.0,0.0,3.0
1937,6,1.67,8.33,5.0,10.0,3.33,1.67,0.0,0.0,5.0
1938,3,0.0,6.67,3.33,6.67,0.0,3.33,0.0,0.0,3.33
1939,7,1.43,2.86,7.14,5.71,2.86,4.29,0.0,0.0,1.43
1940,11,3.64,4.55,3.64,5.45,3.64,6.36,1.82,0.91,3.64
1941,11,2.73,3.64,5.45,7.27,4.55,1.82,0.0,0.91,2.73
1942,9,3.33,4.44,6.67,8.89,1.11,4.44,0.0,2.22,1.11
1943,8,5.0,7.5,6.25,8.75,3.75,6.25,0.0,2.5,3.75
1944,10,1.0,4.0,3.0,8.0,3.0,4.0,0.0,1.0,1.0
1945,7,1.43,7.14,4.29,8.57,1.43,4.29,1.43,1.43,1.43
1946,5,4.0,10.0,8.0,10.0,0.0,6.0,0.0,0.0,0.0
1947,5,2.0,8.0,2.0,10.0,2.0,2.0,2.0,0.0,2.0
1948,7,1.43,4.29,2.86,8.57,1.43,0.0,0.0,1.43,0.0
1949,8,0.0,6.25,3.75,8.75,0.0,1.25,0.0,1.25,0.0
1950,7,2.86,5.71,5.71,4.29,1.43,4.29,0.0,1.43,4.29
1951,16,2.5,6.25,6.25,5.62,1.88,3.12,1.25,0.62,4.38
1952,12,2.5,4.17,3.33,6.67,4.17,3.33,0.0,0.83,2.5
1953,21,2.38,4.29,5.24,2.86,2.86,2.38,0.0,0.48,5.24
1954,14,3.57,5.71,5.71,2.14,5.71,3.57,1.43,0.0,5.71
1955,15,2.67,3.33,4.67,3.33,6.67,4.67,0.0,0.67,5.33
1956,27,2.96,5.56,5.56,2.96,4.81,2.59,0.37,0.0,3.33
1957,30,4.67,4.67,5.33,4.0,5.67,3.67,0.67,1.33,2.67
1958,39,4.36,6.41,5.38,2.31,6.15,2.82,0.51,0.77,5.38
1959,33,3.64,5.15,6.06,3.33,3.03,2.42,0.91,0.0,4.85
1960,25,1.6,6.8,5.2,5.2,2.8,4.0,0.4,0.0,3.2
1961,25,0.4,6.0,5.2,4.8,4.0,3.2,0.0,0.8,2.4
1962,22,2.73,7.27,4.09,4.55,3.64,3.64,0.45,0.0,3.64
1963,17,2.35,7.06,4.12,4.71,4.12,1.76,1.76,0.0,4.71
1964,28,1.79,6.79,5.0,6.07,3.21,3.93,0.0,1.43,3.57
1965,30,4.67,6.67,6.33,2.33,5.33,4.33,0.0,1.67,5.0
1966,35,2.86,6.29,4.57,2.86,4.57,4.29,0.57,0.86,3.43
1967,30,3.0,7.0,5.67,4.0,3.33,4.0,0.67,1.33,4.67
1968,37,2.97,4.86,5.95,4.86,3.51,3.78,1.08,1.08,3.78
1969,26,3.46,5.38,6.15,4.62,3.08,5.0,1.15,0.38,3.08
1970,24,2.5,5.83,3.75,5.42,3.75,2.08,0.83,0.83,2.92
1971,30,2.33,5.67,6.67,4.0,3.67,2.67,0.67,0.33,4.33
1972,28,3.21,6.07,6.43,5.36,4.29,3.21,1.79,1.07,4.64
1973,38,2.89,6.58,5.26,4.21,2.11,3.42,1.58,0.26,3.42
1974,27,3.7,5.56,4.44,5.19,3.7,2.59,1.85,1.11,3.7
1975,25,2.4,6.4,5.2,5.6,4.0,4.0,0.4,0.4,4.4
1976,27,4.07,5.56,3.7,5.93,1.85,2.59,0.37,0.0,3.33
1977,46,3.26,5.65,5.43,5.0,3.48,2.83,0.43,0.43,3.04
1978,32,4.38,7.19,5.62,5.0,3.44,4.06,1.25,1.25,4.06
1979,43,3.72,6.98,6.28,2.56,2.79,3.72,0.93,1.16,4.19
1980,52,3.27,5.0,6.35,5.19,2.12,4.42,0.96,1.35,4.04
1981,37,3.24,5.68,7.03,3.78,2.16,2.7,0.54,0.54,3.78
1982,64,3.44,5.0,6.56,4.38,2.03,5.0,0.47,0.62,3.44
1983,65,2.15,6.92,7.23,5.38,1.69,3.54,1.08,0.77,3.23
1984,70,1.86,7.0,6.29,4.57,2.71,4.71,1.14,0.86,4.43
1985,56,3.04,5.36,6.43,6.07,2.86,3.93,0.89,0.71,3.39
1986,59,3.73,5.42,5.25,4.24,2.71,4.24,1.19,0.17,4.92
1987,81,3.83,6.79,6.42,5.56,2.72,3.95,1.48,0.86,3.7
1988,73,3.01,6.44,4.66,5.34,2.05,3.56,0.82,0.0,4.52
1989,73,2.74,7.26,6.03,4.66,2.47,4.66,1.23,1.1,3.56
1990,64,3.28,7.34,6.09,4.06,2.81,5.0,0.78,0.47,3.59
1991,60,2.67,5.67,6.5,5.17,2.33,5.67,1.0,0.33,3.33
1992,52,2.5,7.88,7.5,5.77,2.31,5.96,1.35,0.19,4.23
1993,63,3.81,6.35,5.4,4.92,2.54,6.03,1.27,0.79,3.02
1994,75,2.8,7.07,6.4,4.93,3.2,5.87,1.07,0.4,2.67
1995,88,3.41,6.7,6.48,4.43,2.84,4.2,2.27,0.8,3.18
1996,78,3.33,6.67,5.13,4.49,2.31,4.87,1.54,0.51,3.33
1997,91,3.74,7.03,6.15,5.38,2.2,4.95,1.76,0.55,3.08
1998,85,3.29,6.12,5.41,5.29,2.24,5.06,1.53,0.35,3.53
1999,84,2.86,6.9,5.83,5.36,2.02,4.76,1.9,0.95,4.52
2000,72,2.36,6.39,5.14,5.42,2.78,5.42,1.67,0.69,3.19
2001,98,2.76,6.84,4.9,5.31,2.55,4.49,1.84,0.41,4.29
2002,107,3.36,6.54,5.33,4.49,2.24,4.67,1.31,0.56,3.74
2003,88,3.75,6.36,6.02,3.98,1.7,4.43,2.39,0.8,2.61
2004,98,3.98,6.22,5.61,4.69,3.16,3.98,1.84,0.61,3.27
2005,112,3.21,7.23,5.98,5.62,3.75,4.46,1.07,0.89,3.48
2006,131,2.98,7.48,5.42,5.57,2.82,3.82,1.37,1.3,2.75
2007,124,3.23,6.85,6.29,5.16,2.74,4.76,1.29,0.97,3.31
2008,149,3.29,6.51,6.24,5.3,2.95,5.03,2.08,1.34,4.23
2009,185,3.46,6.59,6.49,4.59,2.16,4.43,1.62,0.97,4.22
2010,154,3.51,7.01,6.17,5.0,2.99,4.22,1.49,1.1,2.73
2011,178,3.43,6.91,5.67,4.89,2.42,4.38,1.52,1.12,3.48
2012,142,3.59,6.34,5.77,4.86,2.54,3.87,0.85,0.7,3.45
2013,176,3.64,6.48,5.8,4.49,2.73,4.15,1.36,0.85,3.52
2014,184,4.13,7.28,6.47,4.18,2.28,4.35,1.41,0.71,3.59
2015,213,3.15,6.48,5.07,4.37,2.54,3.57,1.69,0.99,3.0
2016,143,3.99,6.85,6.15,4.83,2.66,3.99,1.54,1.61,3.85
2017,78,4.74,6.67,6.28,4.23,1.92,3.85,2.05,1.79,3.85
2018,1,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0
2020,1,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0
NaT,7,2.86,4.29,1.43,0.0,2.86,5.71,0.0,1.43,0.0
